Product_ID,Material_Type,Product_Weight_g,Fragility,Recyclable,Transport_Mode,LCA_Emission_kgCO2,Packaging_Option,Cost_per_unit,Biodegradability_Score,Strength_Score,Product_Category,CO2_Impact_Index,Cost_Efficiency_Index,Recyclable_Binary,Material_Suitability_Score
P0941,Bioplastic,417,High,Yes,Land,0.292,Paper Wrap,0.27,80,40,Pharma & Health,93.04,86.5,1,77.54
P0942,Bioplastic,417,Medium,Yes,Sea,0.292,Paper Wrap,0.3,80,40,Pharma & Health,93.04,85.0,1,77.16
P0943,Bioplastic,550,Low,Yes,Sea,0.385,Paper Wrap,0.35,80,40,Pharma & Health,90.82,82.5,1,75.87
P0944,Plastic,1023,Medium,No,Air,2.148,Recycled Cardboard,0.4,10,65,Cosmetics,48.81,80.0,0,50.14
P0945,Plastic,1875,Low,No,Sea,3.938,Recycled Cardboard,0.31,10,65,E-Commerce,6.15,84.5,0,38.47
P0946,Bioplastic,559,Medium,Yes,Sea,0.391,Paper Wrap,0.14,80,40,Pharma & Health,90.68,93.0,1,78.45
P0947,Ceramic,442,Medium,Yes,Air,0.53,Bio Bubble Wrap,1.13,20,70,Home & Decor,87.37,43.5,1,56.09
P0948,Ceramic,1774,Medium,Yes,Land,2.129,Bio Bubble Wrap,1.11,20,70,Home & Decor,49.26,44.5,1,44.9
P0949,Paper,1201,High,Yes,Air,1.081,Paper Wrap,0.28,95,40,Food & Beverage,74.24,86.0,1,75.52
P0950,Glass,352,Medium,Yes,Air,0.528,Bio Bubble Wrap,0.92,15,70,Home & Decor,87.42,54.0,1,57.48
P0951,Paper,127,Low,Yes,Sea,0.114,Paper Wrap,0.3,95,40,Food & Beverage,97.28,85.0,1,82.18
P0952,Ceramic,1595,Low,Yes,Air,1.914,Bio Bubble Wrap,0.62,20,70,Home & Decor,54.39,69.0,1,52.57
P0953,Glass,950,Medium,Yes,Land,1.425,Bio Bubble Wrap,1.14,15,70,Home & Decor,66.04,43.0,1,48.31
P0954,Plastic,1099,Low,Yes,Land,2.308,Recycled Cardboard,0.51,10,65,E-Commerce,45.0,74.5,1,47.62
P0955,Paper,165,Low,Yes,Land,0.148,Paper Wrap,0.21,95,40,Food & Beverage,96.47,89.5,1,83.07
P0956,Ceramic,862,Low,Yes,Sea,1.034,Bio Bubble Wrap,0.86,20,70,Home & Decor,75.36,57.0,1,55.86
P0957,Ceramic,1741,Medium,No,Land,2.089,Bio Bubble Wrap,0.53,20,70,Home & Decor,50.21,73.5,0,52.44
P0958,Ceramic,1823,Medium,Yes,Sea,2.188,Bio Bubble Wrap,0.62,20,70,Home & Decor,47.86,69.0,1,50.61
P0959,Ceramic,1965,Low,Yes,Air,2.358,Bio Bubble Wrap,1.02,20,70,Home & Decor,43.8,49.0,1,44.39
P0960,Paper,434,High,Yes,Land,0.391,Paper Wrap,0.12,95,40,Food & Beverage,90.68,94.0,1,82.45
P0961,Bioplastic,792,Low,Yes,Air,0.554,Paper Wrap,0.28,80,40,Pharma & Health,86.8,86.0,1,75.54
P0962,Plastic,1468,High,Yes,Air,3.083,Recycled Cardboard,0.42,10,65,E-Commerce,26.53,79.0,1,43.21
P0963,Ceramic,148,Medium,Yes,Land,0.178,Bio Bubble Wrap,0.77,20,70,Home & Decor,95.76,61.5,1,63.1
P0964,Metal,605,Medium,No,Land,1.089,Recycled Cardboard,0.44,5,65,Industrial,74.05,78.0,0,55.96
P0965,Glass,253,Low,Yes,Air,0.38,Bio Bubble Wrap,0.75,15,70,Home & Decor,90.94,62.5,1,60.66
P0966,Bioplastic,412,Low,No,Air,0.288,Paper Wrap,0.32,80,40,Pharma & Health,93.14,84.0,0,76.94
P0967,Paper,1153,Medium,Yes,Sea,1.038,Paper Wrap,0.19,95,40,Food & Beverage,75.26,90.5,1,76.95
P0968,Paper,129,Medium,Yes,Air,0.116,Paper Wrap,0.27,95,40,Food & Beverage,97.24,86.5,1,82.55
P0969,Bioplastic,888,Low,Yes,Sea,0.622,Paper Wrap,0.24,80,40,Pharma & Health,85.18,88.0,1,75.55
P0970,Paper,1673,Low,Yes,Land,1.506,Paper Wrap,0.3,95,40,Food & Beverage,64.11,85.0,1,72.23
P0971,Glass,444,Medium,Yes,Sea,0.666,Bio Bubble Wrap,1.16,15,70,Home & Decor,84.13,42.0,1,53.49
P0972,Paper,1559,Low,Yes,Air,1.403,Paper Wrap,0.32,95,40,Food & Beverage,66.56,84.0,1,72.72
P0973,Glass,816,Low,No,Sea,1.224,Bio Bubble Wrap,0.65,15,70,Home & Decor,70.83,67.5,0,55.87
P0974,Ceramic,265,Medium,Yes,Land,0.318,Bio Bubble Wrap,0.52,20,70,Home & Decor,92.42,74.0,1,65.23
P0975,Paper,903,High,Yes,Sea,0.813,Paper Wrap,0.18,95,40,Food & Beverage,80.62,91.0,1,78.69
P0976,Plastic,1914,High,No,Air,4.019,Recycled Cardboard,0.6,10,65,E-Commerce,4.22,70.0,0,34.27
P0977,Ceramic,1115,Medium,Yes,Air,1.338,Bio Bubble Wrap,0.54,20,70,Home & Decor,68.11,73.0,1,57.68
P0978,Ceramic,787,High,Yes,Land,0.944,Bio Bubble Wrap,0.85,20,70,Home & Decor,77.5,57.5,1,56.62
P0979,Paper,1724,High,No,Land,1.552,Paper Wrap,0.28,95,40,Food & Beverage,63.01,86.0,0,72.15
P0980,Ceramic,747,Low,No,Sea,0.896,Bio Bubble Wrap,0.73,20,70,Home & Decor,78.65,63.5,0,58.47
P0981,Paper,969,Medium,Yes,Land,0.872,Paper Wrap,0.33,95,40,Food & Beverage,79.22,83.5,1,76.39
P0982,Glass,929,Low,No,Air,1.393,Bio Bubble Wrap,0.57,15,70,Home & Decor,66.8,71.5,0,55.66
P0983,Bioplastic,846,High,Yes,Land,0.592,Paper Wrap,0.12,80,40,Pharma & Health,85.89,94.0,1,77.27
P0984,Ceramic,1358,High,No,Air,1.63,Bio Bubble Wrap,1.01,20,70,Home & Decor,61.15,49.5,0,49.72
P0985,Metal,440,Medium,Yes,Air,0.792,Recycled Cardboard,0.55,5,65,Industrial,81.12,72.5,1,56.71
P0986,Ceramic,1818,Medium,No,Air,2.182,Bio Bubble Wrap,0.98,20,70,Home & Decor,48.0,51.0,0,46.15
P0987,Metal,531,High,Yes,Land,0.956,Recycled Cardboard,0.52,5,65,Electronics,77.22,74.0,1,55.92
P0988,Paper,988,Medium,Yes,Air,0.889,Paper Wrap,0.17,95,40,Food & Beverage,78.81,91.5,1,78.27
P0989,Ceramic,109,Low,Yes,Sea,0.131,Bio Bubble Wrap,1.07,20,70,Home & Decor,96.88,46.5,1,59.69
P0990,Bioplastic,1369,Medium,No,Sea,0.958,Paper Wrap,0.34,80,40,Pharma & Health,77.17,83.0,0,71.9
P0991,Plastic,664,Medium,Yes,Land,1.394,Recycled Cardboard,0.65,10,65,Cosmetics,66.78,67.5,1,52.41
P0992,Bioplastic,1996,Medium,Yes,Land,1.397,Paper Wrap,0.18,80,40,Pharma & Health,66.71,91.0,1,70.76
P0993,Paper,1232,Low,Yes,Land,1.109,Paper Wrap,0.28,95,40,Food & Beverage,73.57,86.0,1,75.32
P0994,Paper,736,High,Yes,Air,0.662,Paper Wrap,0.21,95,40,Food & Beverage,84.22,89.5,1,79.39
P0995,Ceramic,464,Low,Yes,Sea,0.557,Bio Bubble Wrap,0.56,20,70,Home & Decor,86.73,72.0,1,63.02
P0996,Ceramic,407,Low,Yes,Sea,0.488,Bio Bubble Wrap,1.14,20,70,Home & Decor,88.37,43.0,1,56.26
P0997,Glass,320,Low,Yes,Air,0.48,Bio Bubble Wrap,0.6,15,70,Home & Decor,88.56,70.0,1,61.82
P0998,Glass,1379,Medium,Yes,Sea,2.068,Bio Bubble Wrap,1.17,15,70,Home & Decor,50.71,41.5,1,43.34
P0999,Metal,413,Medium,Yes,Land,0.743,Minimalist Pouch,0.38,5,50,Industrial,82.29,81.0,1,56.19
P1000,Plastic,1929,Low,Yes,Sea,4.051,Recycled Cardboard,0.39,10,65,E-Commerce,3.46,80.5,1,36.66
P1001,Glass,577,Medium,No,Air,0.866,Bio Bubble Wrap,0.88,15,70,Home & Decor,79.36,56.0,0,55.56
P1002,Ceramic,191,Medium,Yes,Sea,0.229,Bio Bubble Wrap,1.11,20,70,Home & Decor,94.54,44.5,1,58.49
P1003,Bioplastic,189,Low,No,Sea,0.132,Paper Wrap,0.32,80,40,Pharma & Health,96.85,84.0,0,78.05
P1004,Ceramic,1513,Medium,Yes,Land,1.816,Bio Bubble Wrap,1.06,20,70,Home & Decor,56.72,47.0,1,47.77
P1005,Ceramic,682,Low,No,Sea,0.818,Bio Bubble Wrap,0.96,20,70,Home & Decor,80.51,52.0,0,56.15
P1006,Glass,186,Medium,Yes,Sea,0.279,Bio Bubble Wrap,0.98,15,70,Home & Decor,93.35,51.0,1,58.5
P1007,Glass,1639,Medium,Yes,Land,2.458,Bio Bubble Wrap,1.09,15,70,Home & Decor,41.42,45.5,1,41.55
P1008,Glass,1109,Medium,Yes,Land,1.663,Bio Bubble Wrap,0.67,15,70,Home & Decor,60.37,66.5,1,52.49
P1009,Metal,967,Low,Yes,Sea,1.741,Paper Wrap,0.25,5,40,Industrial,58.51,87.5,1,48.68
P1010,Metal,1967,Low,Yes,Land,3.541,Recycled Cardboard,0.41,5,65,Industrial,15.61,79.5,1,38.81
P1011,Glass,913,Medium,Yes,Land,1.369,Bio Bubble Wrap,1.19,15,70,Home & Decor,67.37,40.5,1,48.09
P1012,Paper,918,Low,Yes,Sea,0.826,Paper Wrap,0.38,95,40,Food & Beverage,80.31,81.0,1,76.09
P1013,Bioplastic,1600,Low,Yes,Land,1.12,Paper Wrap,0.11,80,40,Pharma & Health,73.31,94.5,1,73.62
P1014,Ceramic,1209,Medium,No,Air,1.451,Bio Bubble Wrap,0.99,20,70,Home & Decor,65.42,50.5,0,51.25
P1015,Plastic,1698,Low,Yes,Air,3.566,Recycled Cardboard,0.76,10,65,E-Commerce,15.01,62.0,1,35.5
P1016,Metal,1841,Low,Yes,Air,3.314,Minimalist Pouch,0.27,5,50,Industrial,21.02,86.5,1,39.18
P1017,Plastic,399,Low,No,Land,0.838,Recycled Cardboard,0.58,10,65,E-Commerce,80.03,71.0,0,57.26
P1018,Paper,1297,Low,Yes,Air,1.167,Paper Wrap,0.37,95,40,Food & Beverage,72.19,81.5,1,73.78
P1019,Plastic,1410,Low,Yes,Sea,2.961,Recycled Cardboard,0.32,10,65,E-Commerce,29.43,84.0,1,45.33
P1020,Metal,1369,Medium,Yes,Land,2.464,Recycled Cardboard,0.65,5,65,Industrial,41.28,67.5,1,43.51
P1021,Plastic,863,Low,Yes,Air,1.812,Recycled Cardboard,0.45,10,65,E-Commerce,56.82,77.5,1,51.92
P1022,Bioplastic,205,Medium,No,Land,0.143,Paper Wrap,0.38,80,40,Pharma & Health,96.59,81.0,0,77.23
P1023,Glass,342,High,Yes,Air,0.513,Bio Bubble Wrap,1.18,15,70,Home & Decor,87.77,41.0,1,54.33
P1024,Paper,1764,Medium,Yes,Air,1.588,Paper Wrap,0.38,95,40,Food & Beverage,62.15,81.0,1,70.64
P1025,Paper,1487,Medium,Yes,Sea,1.338,Paper Wrap,0.24,95,40,Food & Beverage,68.11,88.0,1,74.18
P1026,Paper,966,Medium,No,Air,0.869,Paper Wrap,0.36,95,40,Food & Beverage,79.29,82.0,0,76.04
P1027,Ceramic,1567,Low,Yes,Land,1.88,Bio Bubble Wrap,1.09,20,70,Home & Decor,55.2,45.5,1,46.94
P1028,Paper,1868,Low,Yes,Sea,1.681,Paper Wrap,0.2,95,40,Food & Beverage,59.94,90.0,1,72.23
P1029,Plastic,822,Medium,No,Air,1.726,Recycled Cardboard,0.71,10,65,Cosmetics,58.87,64.5,0,49.29
P1030,Paper,1969,Medium,No,Land,1.772,Paper Wrap,0.11,95,40,Food & Beverage,57.77,94.5,0,72.71
P1031,Metal,1329,High,Yes,Sea,2.392,Minimalist Pouch,0.44,5,50,Electronics,42.99,78.0,1,43.65
P1032,Bioplastic,165,High,Yes,Sea,0.115,Paper Wrap,0.17,80,40,Pharma & Health,97.26,91.5,1,80.05
P1033,Glass,1227,Low,No,Air,1.841,Bio Bubble Wrap,0.58,15,70,Home & Decor,56.12,71.0,0,52.34
P1034,Paper,661,Medium,Yes,Land,0.595,Paper Wrap,0.12,95,40,Food & Beverage,85.82,94.0,1,81.0
P1035,Metal,234,Medium,Yes,Sea,0.421,Bio Bubble Wrap,0.99,5,70,Industrial,89.97,50.5,1,54.87
P1036,Paper,589,Medium,Yes,Air,0.53,Paper Wrap,0.2,95,40,Food & Beverage,87.37,90.0,1,80.46
P1037,Ceramic,1572,Low,Yes,Land,1.886,Bio Bubble Wrap,1.01,20,70,Home & Decor,55.05,49.5,1,47.89
P1038,Plastic,1503,Medium,Yes,Land,3.156,Recycled Cardboard,0.33,10,65,Cosmetics,24.79,83.5,1,43.81
P1039,Paper,330,Low,Yes,Air,0.297,Paper Wrap,0.19,95,40,Food & Beverage,92.92,90.5,1,82.25
P1040,Metal,422,Low,Yes,Sea,0.76,Minimalist Pouch,0.42,5,50,Industrial,81.89,79.0,1,55.57
P1041,Glass,437,Medium,Yes,Air,0.655,Bio Bubble Wrap,1.05,15,70,Home & Decor,84.39,47.5,1,54.94
P1042,Paper,698,Low,Yes,Sea,0.628,Paper Wrap,0.2,95,40,Food & Beverage,85.03,90.0,1,79.76
P1043,Bioplastic,447,Low,No,Sea,0.313,Paper Wrap,0.29,80,40,Pharma & Health,92.54,85.5,0,77.14
P1044,Glass,269,Medium,Yes,Air,0.404,Bio Bubble Wrap,1.12,15,70,Home & Decor,90.37,44.0,1,55.86
P1045,Plastic,434,Low,Yes,Land,0.911,Recycled Cardboard,0.61,10,65,E-Commerce,78.29,69.5,1,56.36
P1046,Plastic,1871,High,Yes,Land,3.929,Recycled Cardboard,0.42,10,65,E-Commerce,6.36,79.0,1,37.16
P1047,Paper,1020,Low,Yes,Land,0.918,Paper Wrap,0.11,95,40,Food & Beverage,78.12,94.5,1,78.81
P1048,Metal,1823,Medium,Yes,Air,3.281,Bio Bubble Wrap,1.11,5,70,Industrial,21.81,44.5,1,32.92
P1049,Plastic,1790,High,No,Land,3.759,Recycled Cardboard,0.31,10,65,E-Commerce,10.41,84.5,0,39.75
P1050,Metal,835,Medium,Yes,Sea,1.503,Recycled Cardboard,0.74,5,65,Industrial,64.18,63.0,1,49.25
P1051,Ceramic,1632,Low,Yes,Air,1.958,Bio Bubble Wrap,0.87,20,70,Home & Decor,53.34,56.5,1,49.13
P1052,Glass,1245,Medium,No,Land,1.867,Bio Bubble Wrap,1.16,15,70,Home & Decor,55.51,42.0,0,44.9
P1053,Paper,1789,High,Yes,Sea,1.61,Paper Wrap,0.34,95,40,Food & Beverage,61.63,83.0,1,70.99
P1054,Paper,423,Medium,No,Sea,0.381,Paper Wrap,0.4,95,40,Food & Beverage,90.92,80.0,0,79.03
P1055,Paper,1003,Medium,Yes,Air,0.903,Paper Wrap,0.21,95,40,Food & Beverage,78.48,89.5,1,77.67
P1056,Plastic,1755,Low,Yes,Sea,3.686,Recycled Cardboard,0.68,10,65,E-Commerce,12.15,66.0,1,35.64
P1057,Glass,1071,Low,No,Sea,1.607,Bio Bubble Wrap,0.78,15,70,Home & Decor,61.7,61.0,0,51.51
P1058,Bioplastic,1138,Medium,Yes,Air,0.797,Paper Wrap,0.24,80,40,Pharma & Health,81.01,88.0,1,74.3
P1059,Glass,1770,Low,No,Sea,2.655,Bio Bubble Wrap,0.94,15,70,Home & Decor,36.73,53.0,0,42.02
P1060,Glass,993,High,Yes,Air,1.49,Bio Bubble Wrap,1.11,15,70,Home & Decor,64.49,44.5,1,48.22
P1061,Bioplastic,1943,Low,Yes,Land,1.36,Paper Wrap,0.4,80,40,Pharma & Health,67.59,80.0,1,68.28
P1062,Glass,1726,Low,No,Land,2.589,Bio Bubble Wrap,1.04,15,70,Home & Decor,38.3,48.0,0,41.24
P1063,Paper,528,Low,Yes,Sea,0.475,Paper Wrap,0.23,95,40,Food & Beverage,88.68,88.5,1,80.48
P1064,Glass,661,Low,Yes,Sea,0.992,Bio Bubble Wrap,0.79,15,70,Home & Decor,76.36,60.5,1,55.78
P1065,Ceramic,821,Low,Yes,Sea,0.985,Bio Bubble Wrap,1.02,20,70,Home & Decor,76.53,49.0,1,54.21
P1066,Plastic,1474,Low,Yes,Sea,3.095,Recycled Cardboard,0.42,10,65,E-Commerce,26.24,79.0,1,43.12
P1067,Ceramic,487,High,No,Air,0.584,Bio Bubble Wrap,0.58,20,70,Home & Decor,86.08,71.0,0,62.57
P1068,Plastic,463,Medium,No,Land,0.972,Recycled Cardboard,0.48,10,65,Cosmetics,76.84,76.0,0,57.55
P1069,Ceramic,605,High,Yes,Air,0.726,Bio Bubble Wrap,0.7,20,70,Home & Decor,82.7,65.0,1,60.06
P1070,Metal,1684,Medium,Yes,Air,3.031,Paper Wrap,0.19,5,40,Industrial,27.76,90.5,1,40.2
P1071,Plastic,866,Low,No,Air,1.819,Recycled Cardboard,0.42,10,65,E-Commerce,56.65,79.0,0,52.24
P1072,Plastic,1734,Medium,Yes,Sea,3.641,Recycled Cardboard,0.32,10,65,Cosmetics,13.23,84.0,1,40.47
P1073,Glass,569,Low,Yes,Sea,0.854,Bio Bubble Wrap,0.51,15,70,Home & Decor,79.65,74.5,1,60.27
P1074,Ceramic,1545,Medium,No,Air,1.854,Bio Bubble Wrap,1.19,20,70,Home & Decor,55.82,40.5,0,45.87
P1075,Bioplastic,1786,Low,Yes,Sea,1.25,Paper Wrap,0.23,80,40,Pharma & Health,70.21,88.5,1,71.19
P1076,Plastic,1513,High,Yes,Air,3.177,Recycled Cardboard,0.49,10,65,E-Commerce,24.29,75.5,1,41.66
P1077,Ceramic,498,Medium,Yes,Air,0.598,Bio Bubble Wrap,0.98,20,70,Home & Decor,85.75,51.0,1,57.47
P1078,Bioplastic,1431,Medium,Yes,Air,1.002,Paper Wrap,0.17,80,40,Pharma & Health,76.12,91.5,1,73.71
P1079,Paper,170,Medium,Yes,Land,0.153,Paper Wrap,0.38,95,40,Food & Beverage,96.35,81.0,1,80.9
P1080,Paper,477,High,Yes,Land,0.429,Paper Wrap,0.34,95,40,Food & Beverage,89.78,83.0,1,79.43
P1081,Metal,545,Low,No,Air,0.981,Mushroom Foam,0.91,5,75,Industrial,76.62,54.5,0,52.86
P1082,Paper,463,High,Yes,Land,0.417,Paper Wrap,0.23,95,40,Food & Beverage,90.06,88.5,1,80.89
P1083,Ceramic,1818,Medium,Yes,Land,2.182,Bio Bubble Wrap,1.12,20,70,Home & Decor,48.0,44.0,1,44.4
P1084,Paper,1304,High,Yes,Sea,1.174,Paper Wrap,0.38,95,40,Food & Beverage,72.02,81.0,1,73.61
P1085,Paper,1835,Low,Yes,Sea,1.651,Paper Wrap,0.24,95,40,Food & Beverage,60.65,88.0,1,71.94
P1086,Plastic,743,Medium,No,Sea,1.56,Recycled Cardboard,0.61,10,65,Cosmetics,62.82,69.5,0,51.72
P1087,Paper,164,Low,No,Land,0.148,Paper Wrap,0.15,95,40,Food & Beverage,96.47,92.5,0,83.82
P1088,Glass,1008,High,Yes,Land,1.512,Bio Bubble Wrap,1.19,15,70,Home & Decor,63.97,40.5,1,47.07
P1089,Metal,178,Low,Yes,Land,0.32,Recycled Cardboard,0.42,5,65,Industrial,92.37,79.0,1,61.71
P1090,Bioplastic,505,High,Yes,Air,0.353,Paper Wrap,0.38,80,40,Pharma & Health,91.59,81.0,1,75.73
P1091,Plastic,983,Medium,Yes,Air,2.064,Recycled Cardboard,0.62,10,65,Cosmetics,50.81,69.0,1,47.99
P1092,Glass,1383,Low,Yes,Sea,2.075,Bio Bubble Wrap,0.93,15,70,Home & Decor,50.55,53.5,1,46.29
P1093,Paper,811,Low,Yes,Sea,0.73,Paper Wrap,0.25,95,40,Food & Beverage,82.6,87.5,1,78.4
P1094,Paper,1348,Low,Yes,Sea,1.213,Paper Wrap,0.17,95,40,Food & Beverage,71.09,91.5,1,75.95
P1095,Ceramic,1883,Low,Yes,Sea,2.26,Bio Bubble Wrap,0.62,20,70,Home & Decor,46.14,69.0,1,50.09
P1096,Paper,1281,Low,No,Air,1.153,Paper Wrap,0.17,95,40,Food & Beverage,72.52,91.5,0,76.38
P1097,Paper,1523,Low,Yes,Sea,1.371,Paper Wrap,0.16,95,40,Food & Beverage,67.33,92.0,1,74.95
P1098,Metal,1294,Low,Yes,Air,2.329,Minimalist Pouch,0.51,5,50,Industrial,44.49,74.5,1,43.22
P1099,Glass,1253,Low,Yes,Land,1.879,Bio Bubble Wrap,0.75,15,70,Home & Decor,55.22,62.5,1,49.94
P1100,Paper,927,Medium,Yes,Air,0.834,Paper Wrap,0.12,95,40,Food & Beverage,80.12,94.0,1,79.29
P1101,Ceramic,1580,High,Yes,Land,1.896,Bio Bubble Wrap,1.18,20,70,Home & Decor,54.81,41.0,1,45.69
P1102,Glass,1463,Medium,Yes,Land,2.195,Bio Bubble Wrap,1.12,15,70,Home & Decor,47.69,44.0,1,43.06
P1103,Plastic,1781,High,Yes,Land,3.74,Recycled Cardboard,0.76,10,65,E-Commerce,10.87,62.0,1,34.26
P1104,Plastic,1092,Low,Yes,Land,2.293,Recycled Cardboard,0.8,10,65,E-Commerce,45.35,60.0,1,44.1
P1105,Bioplastic,607,Low,Yes,Land,0.425,Paper Wrap,0.15,80,40,Pharma & Health,89.87,92.5,1,78.09
P1106,Metal,585,Medium,Yes,Land,1.053,Mushroom Foam,1.28,5,75,Industrial,74.9,36.0,1,47.72
P1107,Plastic,907,Low,No,Air,1.905,Recycled Cardboard,0.68,10,65,E-Commerce,54.6,66.0,0,48.38
P1108,Paper,276,Medium,Yes,Sea,0.248,Paper Wrap,0.31,95,40,Food & Beverage,94.09,84.5,1,81.1
P1109,Plastic,1799,Low,Yes,Air,3.778,Recycled Cardboard,0.38,10,65,E-Commerce,9.96,81.0,1,38.74
P1110,Glass,865,Medium,Yes,Land,1.298,Bio Bubble Wrap,1.07,15,70,Home & Decor,69.07,46.5,1,50.1
P1111,Plastic,645,Low,Yes,Air,1.355,Recycled Cardboard,0.41,10,65,E-Commerce,67.71,79.5,1,55.69
P1112,Plastic,1409,Medium,Yes,Land,2.959,Recycled Cardboard,0.41,10,65,Cosmetics,29.48,79.5,1,44.22
P1113,Glass,1026,Medium,No,Air,1.539,Bio Bubble Wrap,0.88,15,70,Home & Decor,63.32,56.0,0,50.75
P1114,Plastic,117,Medium,Yes,Land,0.246,Recycled Cardboard,0.6,10,65,Cosmetics,94.14,70.0,1,61.24
P1115,Bioplastic,559,Low,Yes,Sea,0.391,Paper Wrap,0.27,80,40,Pharma & Health,90.68,86.5,1,76.83
P1116,Plastic,665,Medium,No,Land,1.397,Recycled Cardboard,0.35,10,65,Cosmetics,66.71,82.5,0,56.14
P1117,Glass,248,Medium,Yes,Air,0.372,Bio Bubble Wrap,1.11,15,70,Home & Decor,91.13,44.5,1,56.21
P1118,Glass,1725,Low,Yes,Sea,2.587,Bio Bubble Wrap,0.69,15,70,Home & Decor,38.35,65.5,1,45.63
P1119,Paper,1953,Medium,Yes,Air,1.758,Paper Wrap,0.14,95,40,Food & Beverage,58.1,93.0,1,72.43
P1120,Paper,1677,Medium,Yes,Air,1.509,Paper Wrap,0.37,95,40,Food & Beverage,64.04,81.5,1,71.34
P1121,Plastic,1621,Medium,Yes,Air,3.404,Recycled Cardboard,0.78,10,65,Cosmetics,18.88,61.0,1,36.41
P1122,Glass,1635,Medium,Yes,Land,2.453,Bio Bubble Wrap,1.1,15,70,Home & Decor,41.54,45.0,1,41.46
P1123,Paper,1254,Medium,Yes,Land,1.129,Paper Wrap,0.34,95,40,Food & Beverage,73.09,83.0,1,74.43
P1124,Glass,676,Low,Yes,Sea,1.014,Bio Bubble Wrap,0.96,15,70,Home & Decor,75.83,52.0,1,53.5
P1125,Glass,812,Medium,Yes,Sea,1.218,Bio Bubble Wrap,0.89,15,70,Home & Decor,70.97,55.5,1,52.92
P1126,Bioplastic,1989,Low,Yes,Air,1.392,Paper Wrap,0.13,80,40,Pharma & Health,66.83,93.5,1,71.42
P1127,Paper,1325,Medium,Yes,Air,1.192,Paper Wrap,0.22,95,40,Food & Beverage,71.59,89.0,1,75.48
P1128,Plastic,750,Medium,No,Air,1.575,Recycled Cardboard,0.49,10,65,Cosmetics,62.46,75.5,0,53.11
P1129,Ceramic,1102,High,Yes,Land,1.322,Bio Bubble Wrap,0.68,20,70,Home & Decor,68.49,66.0,1,56.05
P1130,Ceramic,283,Low,No,Sea,0.34,Bio Bubble Wrap,1.01,20,70,Home & Decor,91.9,49.5,0,58.94
P1131,Ceramic,1828,Medium,Yes,Air,2.194,Bio Bubble Wrap,0.85,20,70,Home & Decor,47.71,57.5,1,47.69
P1132,Glass,1131,Low,Yes,Air,1.696,Bio Bubble Wrap,0.56,15,70,Home & Decor,59.58,72.0,1,53.62
P1133,Glass,1925,Medium,Yes,Sea,2.888,Bio Bubble Wrap,0.65,15,70,Home & Decor,31.17,67.5,1,43.98
P1134,Glass,1319,Low,Yes,Sea,1.978,Bio Bubble Wrap,0.98,15,70,Home & Decor,52.86,51.0,1,46.36
P1135,Bioplastic,1146,Medium,Yes,Land,0.802,Paper Wrap,0.12,80,40,Pharma & Health,80.89,94.0,1,75.77
P1136,Paper,1939,Low,Yes,Land,1.745,Paper Wrap,0.36,95,40,Food & Beverage,58.41,82.0,1,69.77
P1137,Metal,596,High,Yes,Land,1.073,Paper Wrap,0.25,5,40,Electronics,74.43,87.5,1,53.45
P1138,Ceramic,639,Medium,No,Sea,0.767,Bio Bubble Wrap,0.84,20,70,Home & Decor,81.72,58.0,0,58.02
P1139,Ceramic,914,Medium,No,Air,1.097,Bio Bubble Wrap,0.91,20,70,Home & Decor,73.86,54.5,0,54.78
P1140,Paper,1011,Medium,Yes,Air,0.91,Paper Wrap,0.35,95,40,Food & Beverage,78.31,82.5,1,75.87
P1141,Metal,1382,Medium,Yes,Sea,2.488,Recycled Cardboard,0.47,5,65,Industrial,40.71,76.5,1,45.59
P1142,Metal,250,Low,Yes,Sea,0.45,Recycled Cardboard,0.64,5,65,Industrial,89.28,68.0,1,58.03
P1143,Plastic,1995,Medium,Yes,Sea,4.189,Recycled Cardboard,0.58,10,65,Cosmetics,0.17,71.0,1,33.3
P1144,Plastic,1365,Medium,Yes,Air,2.866,Recycled Cardboard,0.43,10,65,Cosmetics,31.7,78.5,1,44.64
P1145,Paper,1196,High,Yes,Air,1.076,Paper Wrap,0.36,95,40,Food & Beverage,74.36,82.0,1,74.56
P1146,Plastic,205,High,Yes,Sea,0.43,Recycled Cardboard,0.7,10,65,E-Commerce,89.75,65.0,1,58.68
P1147,Metal,1866,Low,Yes,Land,3.359,Mushroom Foam,1.59,5,75,Industrial,19.95,20.5,1,27.36
P1148,Bioplastic,1520,Medium,No,Air,1.064,Paper Wrap,0.36,80,40,Pharma & Health,74.64,82.0,0,70.89
P1149,Paper,240,Low,Yes,Sea,0.216,Paper Wrap,0.36,95,40,Food & Beverage,94.85,82.0,1,80.7
P1150,Bioplastic,444,Medium,Yes,Land,0.311,Paper Wrap,0.31,80,40,Pharma & Health,92.59,84.5,1,76.9
P1151,Glass,646,High,Yes,Air,0.969,Bio Bubble Wrap,1.09,15,70,Home & Decor,76.91,45.5,1,52.2
P1152,Plastic,1623,Low,Yes,Air,3.408,Recycled Cardboard,0.65,10,65,E-Commerce,18.78,67.5,1,38.01
P1153,Paper,1840,High,No,Air,1.656,Paper Wrap,0.3,95,40,Food & Beverage,60.53,85.0,0,71.16
P1154,Metal,549,Low,No,Sea,0.988,Cornstarch Wrap,1.16,5,55,Industrial,76.45,42.0,0,45.68
